category,name,n,n_squared,n_comparisons_total,n_comparisons_non_self,sum_scores_all,sum_scores_non_self,mean_score_all,mean_score_non_self,var_score_non_self,std_score_non_self,median_score_non_self,q25_score,q75_score,min_score,max_score,fraction_strong_binders,fraction_moderate_binders,fraction_weak_binders,log_n,sqrt_n,expected_random,enrichment_score,size_bin,z_score,effect_size,cluster_name,foldseek_match_coverage,foldseek_core_module_fraction,foldseek_network_density,foldseek_multi_match_fraction
MGC (KEGG),MGC_CANDIDATE_1,1,1,0,0,0.0,0.0,0.9367112821313032,0.9367112821313032,0.0866292380429953,0.0089538951081523,0.9127105196601922,0.9327229321166052,0.9470066248945228,0.8329660673783622,1.365811078290983,0.9367112821313032,0.4683556410656516,0.0632887178686967,0.0,1.0,0.0429333868838201,3580790.960757101,0,2.290101261697686,15.15316426137239,MGC_CANDIDATE_1,0.9367112821313032,0.9,0.8774280260720698,1.0
MGC (KEGG),MGC_CANDIDATE_2,5,25,10,10,9.19566863868378,9.19566863868378,0.919566863868378,0.919566863868378,0.0398853101992459,0.4340095693348576,0.8919236712897517,0.6315913778061892,0.9480685425597684,0.8484845649973074,0.9451247303532044,0.919566863868378,0.459783431934189,0.0804331361316219,1.6094379124341005,2.23606797749979,0.1428943600469598,775888.0240751603,2,2.2356516026627995,14.198974904887692,MGC_CANDIDATE_2,0.919566863868378,0.9,0.8456032171247241,1.0
MGC (KEGG),MGC_CANDIDATE_3,4,16,6,6,5.644725543172313,5.644725543172313,0.9407875905287189,0.9407875905287189,0.102601838762095,0.1999540712135734,0.9715434075417704,0.8393701061729852,0.9473204547138436,0.8897650287819571,1.0872171933046295,0.9407875905287189,0.4703937952643593,0.0592124094712812,1.3862943611198906,2.0,0.0052263370519415,93051.88839895531,1,2.3030473762264183,16.041072231824046,MGC_CANDIDATE_3,0.9407875905287189,0.9,0.8850812904928324,1.0
MGC (KEGG),MGC_CANDIDATE_4,2,4,1,1,0.9644218061230166,0.9644218061230166,0.9644218061230166,0.9644218061230166,0.0038638990611014,1.155167578078686,0.972761487682294,0.8648670591545844,1.1371113608327037,0.9518600455777744,0.9752770619595932,0.9644218061230166,0.4822109030615083,0.0355781938769833,0.6931471805599453,1.4142135623730951,0.0057494024004191,875589.5567227473,0,2.37810824798836,10.104064294439327,MGC_CANDIDATE_4,0.9644218061230166,0.9,0.9301094201255815,1.0
MGC (KEGG),MGC_CANDIDATE_5,2,4,1,1,0.91697785888247,0.91697785888247,0.91697785888247,0.91697785888247,0.0416385152087427,0.1735555722736731,0.9395744900673711,0.8861832207360437,0.9360818478272964,0.9101280019054186,1.0398106444087414,0.91697785888247,0.458488929441235,0.08302214111753,0.6931471805599453,1.4142135623730951,0.0111186058019811,1211290.4731593716,0,2.227429075857841,15.559075748139874,MGC_CANDIDATE_5,0.91697785888247,0.9,0.840848393680679,1.0
MGC (KEGG),MGC_CANDIDATE_6,9,81,36,36,33.011218877845394,33.011218877845394,0.916978302162372,0.916978302162372,0.0156153199014198,0.5561234289780032,0.9083652837870484,0.9019924454100794,0.9697505150464996,0.7777087913663349,1.22662246136779,0.916978302162372,0.458489151081186,0.0830216978376279,2.197224577336219,3.0,0.0052607036799905,249644.57998017804,3,2.227430483688609,12.932261982589871,MGC_CANDIDATE_6,0.916978302162372,0.9,0.8408492066365864,1.0
MGC (KEGG),MGC_CANDIDATE_7,3,9,3,3,2.8978162380560986,2.8978162380560986,0.9659387460186996,0.9659387460186996,0.0261112963399149,1.0334943119774231,0.9276508064010492,0.843500545040823,0.9973416253856036,0.8148893353758888,1.0384226796330442,0.9659387460186996,0.4829693730093498,0.0340612539813004,1.0986122886681096,1.7320508075688772,0.0960754703372267,687717.798372665,1,2.382925959434129,15.453914812240669,MGC_CANDIDATE_7,0.9659387460186996,0.9,0.9330376610601777,1.0
MGC (KEGG),MGC_CANDIDATE_8,5,25,10,10,9.440207376871284,9.440207376871284,0.9440207376871286,0.9440207376871286,0.0482131879599473,0.0068154553266426,0.9502918159444904,0.8708861564810725,1.210458714952507,0.6572909978432581,0.9971413807669456,0.9440207376871286,0.4720103688435643,0.0559792623128714,1.6094379124341005,2.23606797749979,0.1065315501039639,310764.9459140936,2,2.313315660497441,17.71526882811225,MGC_CANDIDATE_8,0.9440207376871286,0.9,0.8911751531833504,1.0
MGC (KEGG),MGC_CANDIDATE_9,1,1,0,0,0.0,0.0,0.9106241915797564,0.9106241915797564,0.0680054431561965,0.0333863779800372,0.9140213231244144,0.8723649446030439,1.004370572245606,0.8906320582664149,0.9686041212337946,0.9106241915797564,0.4553120957898781,0.0893758084202437,0.0,1.0,0.0321124360642377,1072364.9386405852,0,2.207250204055466,13.33125674665439,MGC_CANDIDATE_9,0.9106241915797564,0.9,0.8292364182902848,1.0
MGC (KEGG),MGC_CANDIDATE_10,4,16,6,6,5.627694727060926,5.627694727060926,0.937949121176821,0.937949121176821,0.009783278095063,0.1282505390485249,0.989307764255786,0.8998541725455336,1.098645368334788,0.7933463120440147,1.2512779055809522,0.937949121176821,0.4689745605884105,0.0620508788231789,1.3862943611198906,2.0,0.0783260496899153,323350.87559984793,1,2.294032565340357,18.59016154731054,MGC_CANDIDATE_10,0.937949121176821,0.9,0.879748553916371,1.0
