category,name,n,n_squared,n_comparisons_total,n_comparisons_non_self,sum_scores_all,sum_scores_non_self,mean_score_all,mean_score_non_self,var_score_non_self,std_score_non_self,median_score_non_self,q25_score,q75_score,min_score,max_score,fraction_strong_binders,fraction_moderate_binders,fraction_weak_binders,log_n,sqrt_n,expected_random,enrichment_score,size_bin,z_score,effect_size
MGC (KEGG),MGC_CANDIDATE_1,1,1,0,0,0.0,0.0,0.9367112821313033,0.9367112821313033,0.08662923804299537,0.008953895108152312,0.9127105196601922,0.9327229321166053,0.9470066248945229,0.8329660673783622,1.365811078290983,0.9367112821313033,0.46835564106565164,0.06328871786869672,0.0,1.0,0.04293338688382012,3580790.960757101,0,2.290101261697686,15.15316426137239
MGC (KEGG),MGC_CANDIDATE_2,5,25,10,10,9.195668638683781,9.195668638683781,0.919566863868378,0.919566863868378,0.03988531019924592,0.4340095693348576,0.8919236712897517,0.6315913778061892,0.9480685425597685,0.8484845649973074,0.9451247303532043,0.919566863868378,0.459783431934189,0.08043313613162195,1.6094379124341003,2.23606797749979,0.14289436004695982,775888.0240751603,2,2.2356516026627995,14.198974904887692
MGC (KEGG),MGC_CANDIDATE_3,4,16,6,6,5.644725543172313,5.644725543172313,0.9407875905287187,0.9407875905287187,0.10260183876209501,0.19995407121357345,0.9715434075417704,0.8393701061729852,0.9473204547138437,0.8897650287819571,1.0872171933046297,0.9407875905287187,0.47039379526435937,0.05921240947128126,1.3862943611198906,2.0,0.005226337051941537,93051.88839895533,1,2.3030473762264183,16.041072231824046
MGC (KEGG),MGC_CANDIDATE_4,2,4,1,1,0.9644218061230166,0.9644218061230166,0.9644218061230166,0.9644218061230166,0.0038638990611014746,1.1551675780786859,0.9727614876822939,0.8648670591545844,1.1371113608327035,0.9518600455777745,0.9752770619595931,0.9644218061230166,0.4822109030615083,0.035578193876983355,0.6931471805599453,1.4142135623730951,0.005749402400419168,875589.5567227473,0,2.3781082479883597,10.104064294439329
MGC (KEGG),MGC_CANDIDATE_5,2,4,1,1,0.91697785888247,0.91697785888247,0.91697785888247,0.91697785888247,0.0416385152087427,0.1735555722736731,0.9395744900673711,0.8861832207360437,0.9360818478272964,0.9101280019054186,1.0398106444087414,0.91697785888247,0.458488929441235,0.08302214111753004,0.6931471805599453,1.4142135623730951,0.011118605801981152,1211290.4731593716,0,2.2274290758578412,15.559075748139874
MGC (KEGG),MGC_CANDIDATE_6,9,81,36,36,33.011218877845394,33.011218877845394,0.9169783021623721,0.9169783021623721,0.015615319901419834,0.5561234289780032,0.9083652837870484,0.9019924454100794,0.9697505150464997,0.7777087913663349,1.2266224613677899,0.9169783021623721,0.45848915108118604,0.08302169783762792,2.197224577336219,3.0,0.005260703679990594,249644.57998017804,3,2.227430483688609,12.932261982589873
MGC (KEGG),MGC_CANDIDATE_7,3,9,3,3,2.8978162380560986,2.8978162380560986,0.9659387460186996,0.9659387460186996,0.026111296339914953,1.0334943119774231,0.9276508064010491,0.843500545040823,0.9973416253856037,0.8148893353758888,1.0384226796330442,0.9659387460186996,0.4829693730093498,0.03406125398130044,1.0986122886681096,1.7320508075688772,0.09607547033722676,687717.798372665,1,2.382925959434129,15.453914812240667
MGC (KEGG),MGC_CANDIDATE_8,5,25,10,10,9.440207376871285,9.440207376871285,0.9440207376871286,0.9440207376871286,0.048213187959947355,0.006815455326642624,0.9502918159444904,0.8708861564810725,1.210458714952507,0.6572909978432581,0.9971413807669457,0.9440207376871286,0.4720103688435643,0.055979262312871425,1.6094379124341003,2.23606797749979,0.1065315501039639,310764.9459140936,2,2.313315660497441,17.71526882811225
MGC (KEGG),MGC_CANDIDATE_9,1,1,0,0,0.0,0.0,0.9106241915797563,0.9106241915797563,0.06800544315619654,0.033386377980037234,0.9140213231244144,0.8723649446030439,1.004370572245606,0.8906320582664149,0.9686041212337946,0.9106241915797563,0.45531209578987814,0.08937580842024373,0.0,1.0,0.0321124360642377,1072364.9386405852,0,2.207250204055466,13.33125674665439
MGC (KEGG),MGC_CANDIDATE_10,4,16,6,6,5.627694727060926,5.627694727060926,0.937949121176821,0.937949121176821,0.009783278095063028,0.1282505390485249,0.9893077642557861,0.8998541725455336,1.0986453683347879,0.7933463120440147,1.2512779055809522,0.937949121176821,0.4689745605884105,0.062050878823178945,1.3862943611198906,2.0,0.07832604968991531,323350.87559984793,1,2.294032565340357,18.59016154731054
